Item Code,Product,Unit,Unit,Rate
29.10.23,"315 mm dia. 45º uPVC bend, PN-8, wall thickness 10.90 mm, having socket Each end & rubber ring.             ",Each,Each,8358.139373
29.10.24,"315 mm dia. 22.50º uPVC bend, PN-8, wall thickness 10.90 mm, having socket Each end & rubber ring.             ",Each,Each,8235.43668
29.10.25,"315 mm dia. 11.25º uPVC bend, PN-8, wall thickness 10.90 mm, having socket Each end & rubber ring.             ",Each,Each,8174.085333
29.11.01,"100 mm /4"" dia. (OD) uPVC End Cap, wall thickness 3.40 mm -4.00 mm.",Each,Each,628.8513042
29.11.02,"150 mm /6"" dia. (OD) uPVC End Cap, wall thickness 4.50 mm -5.20 mm.  ",Each,Each,808.6107502
29.11.03,"200 mm /8"" dia. (OD) uPVC End Cap, wall thickness 5.30 mm -6.10 mm.",Each,Each,1124.570186
29.11.04,"250 mm /10"" dia. (OD) uPVC End Cap, wall thickness 6.60 mm -7.60 mm.",Each,Each,1525.19448
29.11.05,"300 mm /12"" dia. (OD) uPVC End Cap, wall thickness 7.80 mm -9.00 mm.",Each,Each,2014.164714
29.12.01,"100 mm /4"" dia. uPVC End Cap, wall thickness 4.50 mm - 5.20 mm.",Each,Each,720.8783243
29.12.02,"150 mm /6"" dia. uPVC End Cap, wall thickness 6.60 mm - 7.60 mm.",Each,Each,931.3134437
29.12.03,"200 mm /8"" dia. uPVC End Cap, wall thickness 7.80 mm - 9.00 mm.",Each,Each,1369.975573
29.12.04,"250 mm /10"" dia. uPVC End Cap, wall thickness 9.70 mm - 11.20 mm.",Each,Each,1831.951214
29.12.05,"300 mm /12"" dia. uPVC End Cap, wall thickness 11.5 mm -13.3 mm.",Each,Each,2198.218754
29.13.01,"110 mm dia. uPVC End Cap, PN-8 with socket in one end & rubber ring.",Each,Each,684.0675163
29.13.02,"160 mm dia. uPVC End Cap, PN-8 with socket in one end & rubber ring.",Each,Each,777.3215633
29.13.03,"225 mm dia. uPVC End Cap, PN-8 with socket in one end & rubber ring.",Each,Each,850.9431794
29.13.04,"280 mm dia. uPVC End Cap, PN-8 with socket in one end & rubber ring.",Each,Each,973.6458729
29.13.05,"315 mm dia. uPVC End Cap, PN-8 with socket in one end & rubber ring.",Each,Each,1157.699913
29.14.01,"100 mm /4"" dia. (OD) uPVC Socket Adopter.",Each,Each,426.3918599
29.14.02,"150 mm /6"" dia. (OD) uPVC Socket Adopter.",Each,Each,747.2594034
29.14.03,"200 mm /8"" dia. (OD) uPVC Socket Adopter.",Each,Each,1124.570186
29.14.04,"250 mm /10"" dia. (OD) uPVC Socket Adopter.",Each,Each,1586.545827
29.14.05,"300 mm /12"" dia. uPVC Socket Adopter.",Each,Each,3547.948383
29.15.01,"100 mm /4"" dia. uPVC Socket Adopter. thickness 4.50 mm - 5.20 mm.",Each,Each,487.7432067
29.15.02,"150 mm /6"" dia. uPVC Socketed Adopter. thickness 6.60 mm.",Each,Each,869.9620969
29.15.03,"200 mm /8"" dia. uPVC Socketed Adopter. thickness 7.80 mm -9.00 mm.",Each,Each,1369.975573
29.15.04,"250 mm /10"" dia. uPVC Socketed Adopter. thickness 9.70 mm - 11.20 mm.",Each,Each,1831.951214
29.15.05," 300mm /12"" dia. uPVC Socketed Adopter. thickness11.5 mm - 13.3 mm.",Each,Each,2136.867407
29.16.01," 100 mm /4"" dia. uPVC Socket Adopter, PN-8.",Each,Each,463.202668
29.16.02," 150 mm /4"" dia. uPVC Socket Adopter, PN-8.",Each,Each,685.2945432
29.16.03," 200 mm /4"" dia. uPVC Socket Adopter, PN-8.",Each,Each,881.6188528
29.16.04," 250 mm /4"" dia. uPVC Socket Adopter, PN-8.",Each,Each,1271.813418
29.16.05," 300 mm /4"" dia. uPVC Socket Adopter, PN-8.",Each,Each,1682.867441
29.17.01,150 x 100 mm dia. uPVC Reducer.,Each,Each,1115.060727
29.17.02,200 x 100 mm dia. uPVC Reducer.,Each,Each,1471.818809
29.17.03,200 x 150 mm dia. uPVC Reducer.,Each,Each,1703.420143
29.17.04,250 x 200 mm dia. uPVC Reducer.,Each,Each,2110.179571
29.17.05,300 x 250 mm dia. uPVC Reducer.,Each,Each,2537.614404
29.18.01,150 x 100 mm dia. uPVC Reducer.,Each,Each,1483.168808
29.18.02,200 x 100 mm dia. uPVC Reducer.,Each,Each,1839.926889
29.18.03,200 x 150 mm dia. uPVC Reducer.,Each,Each,2010.176876
29.18.04,250 x 200 mm dia. uPVC Reducer.,Each,Each,2539.638999
29.18.05,300 x 250 mm dia. uPVC Reducer.,Each,Each,2967.073832
29.19.01,"160 x 110 mm dia. uPVC Reducer, PN-8.",Each,Each,1483.168808
29.19.02,"225 x 110 mm dia. uPVC Reducer, PN-8.",Each,Each,2508.963325
29.19.03,"225 x 160 mm dia. uPVC Reducer, PN-8.",Each,Each,2774.001143
29.19.04,"280 x 225 mm dia. uPVC Reducer, PN-8.",Each,Each,3331.071372
29.19.05,"315 x 280 mm dia. uPVC Reducer, PN-8.",Each,Each,3998.267268
29.20.01,100 x 100 x 100 mm dia. uPVC Tee.,Each,Each,1131.932348
29.20.02,150 x 150 x 150 mm dia. uPVC Tee.,Each,Each,2270.9201
29.20.03,150 x 100 x 150 mm dia. uPVC Tee.,Each,Each,1857.412023
29.20.04,200 x 200 x 200 mm dia. uPVC Tee.,Each,Each,3758.383502
29.20.05,200 x 150 x 200 mm dia. uPVC Tee.,Each,Each,3165.729492
29.20.06,200 x 100 x 200 mm dia. uPVC Tee.,Each,Each,2728.907903
29.20.07,250 x 250 x 250 mm dia. uPVC Tee.,Each,Each,5409.041486
29.20.08,250 x 200 x 250 mm dia. uPVC Tee.,Each,Each,4750.128022
29.20.09,250 x 150 x 250 mm dia. uPVC Tee.,Each,Each,4087.533477
29.20.10,300 x 300 x 300 mm dia. uPVC Tee.,Each,Each,9195.339851
29.20.11,300 x 250 x 300 mm dia. uPVC Tee.,Each,Each,7973.221024
29.20.12,300 x 200 x 300 mm dia. uPVC Tee.,Each,Each,7162.15622
29.20.13,300 x 150 x 300 mm dia. uPVC Tee.,Each,Each,6418.577897
29.20.14, 300 x 100 x 300 mm dia. uPVC Tee.,Each,Each,5883.594153
29.21.01,100 x 100 x 100 mm dia. uPVC Tee.,Each,Each,1303.716118
29.21.02,150 x 150 x 150 mm dia. uPVC Tee.,Each,Each,3013.271396
29.21.03,150 x 100 x 150 mm dia. uPVC Tee.,Each,Each,2355.584958
29.21.04,200 x 200 x 200 mm dia. uPVC Tee.,Each,Each,4889.702336
29.21.05,200 x 150 x 200 mm dia. uPVC Tee.,Each,Each,4109.313205
29.21.06,200 x 100 x 200 mm dia. uPVC Tee.,Each,Each,3537.518654
29.21.07,250 x 250 x 250 mm dia. uPVC Tee.,Each,Each,6936.69002
29.21.08,250 x 200 x 250 mm dia. uPVC Tee.,Each,Each,5986.971173
29.21.09,250 x 150 x 250 mm dia. uPVC Tee.,Each,Each,5261.798254
29.21.10,300 x 300 x 300 mm dia. uPVC Tee.,Each,Each,10007.63168
29.21.11,300 x 250 x 300 mm dia. uPVC Tee.,Each,Each,8623.545299
29.21.12,300 x 200 x 300 mm dia. uPVC Tee.,Each,Each,7652.966994
29.21.13,300 x 150 x 300 mm dia. uPVC Tee .,Each,Each,6970.740018
29.21.14,300 x 100 x 300 mm dia. uPVC Tee.,Each,Each,6336.367092
29.22.01,110 x 110 x 110 mm dia. uPVC Tee.,Each,Each,1309.851253
29.22.02,160 x 160 x 160 mm dia. uPVC Tee.,Each,Each,3605.925405
29.22.03,160 x 160 x 110 mm dia. uPVC Tee.,Each,Each,2666.022773
29.22.04,225 x 225 x 225 mm dia. uPVC Tee.,Each,Each,6367.042766
29.22.05,225 x 225 x 160 mm dia. uPVC Tee.,Each,Each,4595.215872
29.22.06,225 x 225 x 110 mm dia. uPVC Tee.,Each,Each,4162.075364
29.22.07,280 x 280 x 280 mm dia. uPVC Tee.,Each,Each,7494.987276
29.22.08,280 x 280 x 225 mm dia. uPVC Tee.,Each,Each,6929.327859
29.22.09,280 x 280 x 180 mm dia. uPVC Tee.,Each,Each,6615.208963
29.22.10,315 x 315 x 315 mm dia. uPVC Tee.,Each,Each,9516.820908
29.22.11,315 x 315 x 280 mm dia. uPVC Tee.,Each,Each,8279.977757
29.22.12,315 x 315 x 225 mm dia. uPVC Tee.,Each,Each,7407.561607
29.22.13,315 x 315 x 180 mm dia. uPVC Tee.,Each,Each,6663.983284
29.22.14,315 x 315 x 110 mm dia. uPVC Tee.,Each,Each,6153.540079
29.23.01,110 mm dia. uPVC Strainght Coupling. ,Each,Each,1072.421541
29.23.02,160 mm dia. uPVC Strainght Coupling.,Each,Each,1862.013374
29.23.03,225 mm dia. uPVC Strainght Coupling.,Each,Each,3311.745698
29.23.04,280 mm dia. uPVC Strainght Coupling.,Each,Each,5318.54825
29.23.05,315 mm dia. uPVC Strainght Coupling.,Each,Each,6932.702183
29.24.01,110 mm dia. HDPE pipe wall thickness 6.60 mm - 7.40 mm. ,Per Meter,Per Meter,1073.853073
29.24.02,160 mm dia. HDPE pipe wall thickness 9.50 mm -10.60 mm.,Per Meter,Per Meter,2064.063809
29.24.03,180 mm dia. HDPE pipe wall thickness 10.70 mm -11.90 mm.,Per Meter,Per Meter,2594.34395
29.24.04,200 mm dia. HDPE pipe wall thickness 11.90 mm - 13.20 mm.,Per Meter,Per Meter,3149.982647
29.24.05,225 mm dia. HDPE pipe wall thickness 13.40 mm - 14.90 mm.,Per Meter,Per Meter,3956.957361
29.24.06,250 mm dia. HDPE pipe wall thickness 14.80 mm - 16.40 mm.,Per Meter,Per Meter,4835.917655
29.24.07,280 mm dia. HDPE pipe wall thickness 16.60 mm -18.40 mm.,Per Meter,Per Meter,5975.212164
29.24.08,315 mm dia. HDPE pipe wall thickness 18.70 mm -20.70 mm.,Per Meter,Per Meter,7502.860699
29.24.09,355 mm dia. HDPE pipe wall thickness 21.10 mm -23.40 mm.,Per Meter,Per Meter,9494.938928
29.24.10,400 mm dia. HDPE pipe wall thickness 23.70 mm - 26.20 mm.,Per Meter,Per Meter,11927.92884
29.25.01,110 mm dia. HDPE Bend.,Each,Each,3931.3943
29.25.02,160 mm dia. HDPE Bend.,Each,Each,5086.026646
29.25.03,180 mm dia. HDPE Bend.,Each,Each,6556.004914
29.25.04,200 mm dia. HDPE Bend.,Each,Each,7623.518347
29.25.05,225 mm dia. HDPE Bend.,Each,Each,9399.026322
29.25.06,250 mm dia. HDPE Bend.,Each,Each,11007.65863
29.25.07,280 mm dia. HDPE Bend.,Each,Each,11143.85862
29.25.08,315 mm dia. HDPE Bend.,Each,Each,13573.37195
29.25.09,355 mm dia. HDPE Bend.,Each,Each,17625.01489
29.25.10,400 mm dia. HDPE Bend.,Each,Each,22693.86316
29.26.01,110 mm dia.  HDPE Coupling.,Each,Each,6009.977928
29.26.02,160 mm dia.  HDPE Coupling.,Each,Each,7911.869677
29.26.03,180 mm dia.  HDPE Coupling.,Each,Each,9978.183035
29.26.04,200 mm dia.  HDPE Coupling.,Each,Each,12010.13964
29.26.05,225 mm dia.  HDPE Coupling.,Each,Each,14348.85298
29.26.06,250 mm dia.  HDPE Coupling.,Each,Each,16888.79873
29.26.07,280 mm dia.  HDPE Coupling.,Each,Each,21757.64161
29.26.08,315 mm dia.  HDPE Coupling.,Each,Each,23816.59281
29.26.09,355 mm dia.  HDPE Coupling.,Each,Each,29097.71674
29.26.10,400 mm dia.  HDPE Coupling.,Each,Each,35546.97031
29.27.01,110 x 160 mm dia.  HDPE Reducer.,Each,Each,5764.572541
29.27.02,110 x 180 mm dia.  HDPE Reducer. ,Each,Each,6009.977928
29.27.03,110 x 200 mm dia.  HDPE Reducer.,Each,Each,6255.383315
29.27.04,160 x 200 mm dia.  HDPE Reducer.,Each,Each,8451.761528
29.27.05,160 x 225 mm dia.  HDPE Reducer.,Each,Each,8758.518262
29.27.06,160 x 250 mm dia.  HDPE Reducer.,Each,Each,8892.264198
29.27.07,180 x 225 mm dia.  HDPE Reducer.,Each,Each,10419.91273
29.27.08,180 x 250 mm dia.  HDPE Reducer.,Each,Each,10638.32353
29.27.09,180 x 280 mm dia.  HDPE Reducer.,Each,Each,10883.72891
29.27.10,200 x 250 mm dia.  HDPE Reducer.,Each,Each,12255.54503
29.27.11,200 x 280 mm dia.  HDPE Reducer.,Each,Each,12999.12335
29.27.12,200 x 315 mm dia.  HDPE Reducer.,Each,Each,13523.06385
29.28.01,110 x 110 x 110 mm dia.  HDPE Tee.,Each,Each,5579.291473
29.28.02,160 x 160 x 160 mm dia.  HDPE Tee.,Each,Each,7419.831876
29.28.03,160 x 110 x 160 mm dia.  HDPE Tee.,Each,Each,7419.831876
29.28.04,180 x 180 x 180 mm dia.  HDPE Tee.,Each,Each,9507.004692
29.28.05,180 x 150 x 180 mm dia.  HDPE Tee.,Each,Each,10990.48026
29.28.06,180 x 110 x 180 mm dia.  HDPE Tee.,Each,Each,10990.48026
29.28.07,225 x 225 x 225 mm dia.  HDPE Tee.,Each,Each,12934.09092
29.28.08,225 x 180 x 225 mm dia.  HDPE Tee.,Each,Each,12934.09092
29.28.09,250x 250 x 250 mm dia.  HDPE Tee.,Each,Each,14627.38809
29.28.10,280 x 280 x 280 mm dia.  HDPE Tee. ,Each,Each,17728.08516
29.28.11,315 x 315 x 315 mm dia.  HDPE Tee. ,Each,Each,19252.05261
29.28.12,355 x 355 x 355 mm dia.  HDPE Tee.,Each,Each,24382.25223
29.28.13,400 x 400 x 400 mm dia.  HDPE Tee.,Each,Each,31755.45708
29.29.01,"100 mm dia. (ND) GI/ MS Pipe, wall thicnkess 4.50 mm (OD 114.9 mm to ID 105.9 mm) weight 12.10 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless]. [seamless plain ended ]. ",Per Meter,Per Meter,2144.843082
29.29.02,"150 mm dia. (ND) G.I/ M.S Pipe, wall thickness of pipe 5.00 mm  (OD 166.10 mm to ID 155.30 mm) weight 19.20 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless]. [seamless plain ended ]. ",Per Meter,Per Meter,3240.987144
29.29.03,"200 mm dia. (ND) G.I/ M.S Pipe,  wall thickness of pipe 6.00 mm (OD 216.30 mm to ID 204.70 mm) weight 30.10 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless]. [seamless plain ended ]. ",Per Meter,Per Meter,4075.774469
29.29.04,"225 mm dia. G.I/ M.S Pipe,  minimum thickness 6.50 mm, API-5L grade-B ERW as per BS-1387:1967, based on design of the test tube well i/c welding, checking of verticality from time to time etc. all complete as per design, drawings, specification and direction of the Engineer-in-Charge. [welded ERW ASTM A 105 ]. plain ended",Per Meter,Per Meter,4503.188851
