Item Code,Product,Unit,Unit,Rate
29.29.05,"225 mm dia. (ND) G.I/ M.S Pipe,  wall thickness of pipe 6.50 mm (OD 244.00 mm to ID 230.00 mm) weight 36.10 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless plain ended ]. ",Per Meter,Per Meter,5484.810399
29.29.06,"250 mm dia. M.S Pipe,  minimum thickness 6.60 mm, API-5L grade-B ERW as per BS-1387:1967, based on design of the test tube well i/c welding, checking of verticality from time to time etc. all complete as per design, drawings, specification and direction of the Engineer-in-Charge. [welded ERW ASTM A 105 ]. plain ended",Per Meter,Per Meter,4881.931165
29.29.07,"250 mm dia. (ND) M.S Pipe,  wall thickness of pipe 6.60 mm,  (OD 267.40 mm to ID 254.20 mm) weight 42.40 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless plain ended ].",Per Meter,Per Meter,6231.660794
29.29.08,"300 mm dia. M.S  pipe, minimum thickness 6.70 mm, API-5L grade-B ERW as per BS-1387:1967, based on design of the test tube well i/c welding, checking of verticality from time to time etc. all complete as per design, drawings, specification and direction of the Engineer-in-Charge. [welded ERW ASTM A 105 ]. plain ended",Per Meter,Per Meter,5644.323901
29.29.09,"300 mm dia. (ND) M.S  pipe, wall thickness of pipe 6.70 mm,  (OD 318.50 mm to ID 304.70 mm) weight 53.00 kg/m can withstand 50 kg/cm2 hydraulic pressure.  [seamless plain ended].",Per Meter,Per Meter,8589.188545
29.29.10,"350 mm dia MS housing Pipe minimum thickness 7.90 mm, API-5L grade-B ERW as per BS-1387:1967, based on design of the test tube well i/c welding, checking of verticality from time to time etc. all complete as per design, drawings, specification and direction of the Engineer-in-Charge. [welded ERW ASTM A 105 ]. plain ended",Per Meter,Per Meter,6625.945449
29.29.11,"350 mm dia. (ND) M.S  pipe, wall thickness of pipe 7.90 mm (OD 355.60 mm to ID 339.80 mm) weight 67.70 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless plain ended].",Per Meter,Per Meter,10675.13433
29.29.12,"400 mm dia. M.S  pipe, minimum thickness 7.90 mm, API-5L grade-B ERW as per BS-1387:1967, based on design of the test tube well i/c welding, checking of verticality from time to time etc. all complete as per design, drawings, specification and direction of the Engineer-in-Charge. [welded ERW ASTM A 105 ]. plain ended",Per Meter,Per Meter,8221.080465
29.29.13,"400 mm dia. (ND) M.S  pipe, wall thickness of pipe 7.90 mm,  (OD 406.40 mm to ID 390.6 mm) weight 77.53 kg/m can withstand 50 kg/cm2 hydraulic pressure. [seamless plain ended].",Per Meter,Per Meter,12270.26935
29.30.01,100 mm dia MS bend. wall thickness of pipe 4.50 mm.,Each,Each,4811.172612
29.30.02,"150 mm MS  bend, wall thickness of pipe 4.85 mm.",Each,Each,7032.091364
29.30.03,"200 mm dia. MS  bend, wall thickness of pipe 5.80 mm.",Each,Each,9342.276326
29.30.04,"225 mm dia. MS bend, wall thickness of pipe 6.00 mm.",Each,Each,10615.62353
29.30.05,"250 mm MS bend, wall thickness of pipe 6.60 mm.",Each,Each,11689.2721
29.30.06,"300 mm MS bend, wall thickness of pipe 6.90 mm.",Each,Each,14379.83541
29.30.07,"350 mm MS  bend, wall thickness of pipe 7.90 mm.",Each,Each,16251.05148
29.30.08,"400 mm MS bend, wall thickness of pipe 7.90 mm.",Each,Each,17098.31358
29.31.01,"100 mm MS  pipe, Wall thickness of pipe 4.50 mm.",Each,Each,6225.775155
29.31.02,150 mm MS  pipe ( Wall thickness of pipe 4.85 mm.,Each,Each,8706.633428
29.31.03,"225 mm MS  pipe, Wall thickness of pipe 6.00 mm.",Each,Each,12701.86994
29.31.04,"250 mm MS  pipe, Wall thickness of pipe 6.60 mm.",Each,Each,13924.27098
29.31.05,"300 mm MS  pipe, Wall thickness of pipe 6.60 mm.",Each,Each,16891.31414
29.31.06,"350 mm MS  pipe, Wall thickness of pipe 7.90 mm.",Each,Each,18960.11836
29.31.07,"400 mm MS  pipe, Wall thickness of pipe 7.90 mm.",Each,Each,20152.10141
29.33.01,100 mm dia dresser coupling.,Each,Each,993.8918174
29.33.02,150 mm dia dresser coupling.,Each,Each,1141.13505
29.33.03,200 mm dia dresser coupling.,Each,Each,1619.675554
29.33.04,225 mm dia dresser coupling.,Each,Each,1791.459325
29.33.05,250 mm dia dresser coupling.,Each,Each,2061.405251
29.33.06,300 mm dia dresser coupling.,Each,Each,2674.918718
29.33.07,350 mm dia dresser coupling.,Each,Each,3030.756529
29.33.08,400 mm dia dresser coupling.,Each,Each,3644.269997
29.34.01,100 mm dia Flange Adopter.,Per set,Per set,957.0810093
29.34.02,150 mm dia Flange Adopter,Per set,Per set,1128.86478
29.34.03,200 mm dia Flange Adopter.,Per set,Per set,1337.459359
29.34.04,225 mm dia Flange Adopter.,Per set,Per set,1521.513399
29.34.05,250 mm dia Flange Adopter.,Per set,Per set,1662.621497
29.34.06,300 mm dia Flange Adopter.,Per set,Per set,1895.756615
29.34.07,350 mm dia Flange Adopter.,Per set,Per set,2000.053904
29.34.08,400 mm dia Flange Adopter.,Per set,Per set,2319.080907
29.35.01,"Construction of 1.45 m x 1.25 m x 130 m size (outside) sluice valve chamber as per drawing and design with 250mm thick brick work over 75 mm thick cement concrete (1: 2 :4) and  single brick flat soling . 150 mm thick 3 part RCC slab (1:2: 4) using 15 mm dia. MS rod 100 mm center to center in both ways including 2 nos 150 mm dia MS ring in Each part of slab for handling. 12mm thick cement plaster (1:4) in/c NCF in inside wall of chamber, as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Each,Each,26503.51865
29.35.02,"Construction of 1.35 m x 1.10 m x 1.30 m size (outside) sluice valve chamber as per drawing and design with 250mm thick brick work over 75 mm thick cement concrete (1: 2 :4) and  single brick flat soling . 150 mm thick 3 part RCC slab (1:2: 4) using 15 mm dia. MS rod 100 mm center to center in both ways including 2 nos 150 mm dia MS ring in each part of slab for handling. 12mm thick cement plaster (1:4) in/c. NCF in inside wall of chamber.      specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Each,Each,22869.08787
29.36,"Construction of 1.15m x 1.15m size (outside) platform and 1meter long drain of Street Hydrant as per drawing and design with 100 mm thick cement concrete (1: 2 :4) over  single brick flat soling .  RCC post (1:2: 4) of 1.40 m long 150 mm x 150mm size at the top and 200mm x200 mm at the bottom  using 10 mm dia. MS rod 4 nos and strirrups 8mm dia MS rod @ 150mm  center to center . 12mm thick cement plaster (1:4) in/c NCF in all over the slab and post. Water connection to be taken from the nearest distribution line with supply of materials and labour as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Each,Each,9258.628237
29.37,"12 mm dia House connection with Platform:  a) Construction of 1.00m x 1.00m size (outside) platform and 1meter long drain for  House connection as per drawing and design with 100 mm thick cement concrete (1: 2 :4) over  single brick flat soling .  RCC post (1:2: 4) of 1.40 m long 150 mm x 150mm size at the top and 200mm x200 mm at the bottom  using 10 mm dia. MS rod 4 nos and strirrups 8mm dia MS rod @ 150mm  center to center,  12mm thick cement plaster (1:4) in/c NCF in all over the slab and post.  b) Construction of 1.10m x 0.60m size water meter chamber as per drawing and design. c) Water connection with supply of materials & labour for a distance 25 meter from the nearest distribution line.  as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per item,Per item,10851.21234
29.38,"12 mm dia House connection without Platform: Provide and making house connection in all respect which includes cutting of road, making trench for house connection from old/new water line by supplying required materials and restoration of road including a) Construction of 1.10m x 0.60m size water meter chamber as per drawing and design.  b) Water connection with supply of materials & labour for a distance 25 meter from the nearest distribution line.  as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per item,Per item,6313.345542
29.39,"20 mm dia House connection with Platform: a) Construction of 1.00m x 1.00m size (outside) platform and 1meter long drain for  House connection as per drawing and design with 100 mm thick cement concrete (1: 2 :4) over  single brick flat soling .  RCC post (1:2: 4) of 1.40 m long 150 mm x 150mm size at the top and 200mm x200 mm at the bottom  using 10 mm dia. MS rod 4 nos and strirrups 8mm dia MS rod @ 150mm  center to center,  12mm thick cement plaster (1:4) in/c NCF in all over the slab and post.  b) Construction of 1.10m x 0.60m size water meter chamber as per drawing and design. c) Water connection with supply of materials & labour for a distance 25 meter from the nearest distribution line.  as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per item,Per item,10893.9963
29.4,"20  mm dia House connection without Platform: a) Construction of 1.10m x 0.60m size water meter cahamber as per drawing and design. b) Water connection with supply of materials & labour for a distance 25 meter from the nearest distribution line.  as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).                   ",Per item,Per item,6893.729282
29.42,"25  mm dia House connection without Platform:  a) Construction of 1.10m x 0.60m size water meter chamber as per drawing and design.  b) Water connection with supply of materials & labour for a distance 25 meter from the nearest distribution line.  as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).                   ",Per item,Per item,7307.237359
29.43,"Supply, testing (one meter in one lot of supply) and installation of (Class C according to ISO Standard- 4064 and meter body made of good quality non-corrosive Brass) 1/2 inch (12 -15 mm) size water meter with all other fittings in all respect etc.,  as per drawing, specification and direction of Engineer- In-charge. Project Name including DPHE must be written in Dial Gauge of Meter and meters must be supplied with anti corrosive epoxy resin paint in blue color. Especially  1. ISO Certificate of the water meter manufaturer  2. Operation manual with product specification  3. Installation procedure drawing/manual 4. Factory Test report by any third party  must be submitted before supply of the meter. Local Laboratory test report of different parameters for water meters  must be submitted before installation and based on satisfactory test report conforming to ISO standard 4064. meters will be accepted for installation. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge, tests done by the contractor with VAT, Income Tax & Profit).          ",Each,Each,2576.756564
29.44,"Supply, testing (one meter in one lot of supply) and installation of (Class C according to ISO Standard- 4064 and meter body made of good quality non-corrosive Brass)  3/4 inch (20 mm) size water meter with all other fittings in all respect etc.,  as per drawing, specification and direction of Engineer- In-charge. Project Name including DPHE must be written in Dial Gauge of Meter and meters must be supplied with anti corrosive epoxy resin paint in blue color. Especially  1. ISO Certificate of the water meter manufaturer  2. Operation manual with product specification  3. Installation procedure drawing/manual 4. Factory Test report done by any third party  must be submitted before supply of the meter. Local Laboratory test report of different parameters for water meters  must be submitted before installation and based on satisfactory test report conforming to ISO standard 4064. meters will be accepted for installation. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge, tests done by the contractor with VAT, Income Tax & Profit).               ",Each,Each,3190.270031
29.45,"Supply, testing (one meter in one lot of supply) and installation of (Class C according to ISO Standard- 4064 and meter body made of good quality non-corrosive Brass)   1 inch (25 mm) size water meter with all other fittings in all respect etc.,  as per drawing, specification and direction of Engineer- In-charge. Project Name including DPHE must be written in Dial Gauge of Meter and meters must be supplied with anti corrosive epoxy resin paint in blue color. Especially  1. ISO Certificate of the water meter manufaturer  2. Operation manual with product specification  3. Installation procedure drawing/manual 4. Factory Test report by any third party must be submitted before supply of the meter. Local Laboratory test report of different parameters for water meters  must be submitted before installation and based on satisfactory test report conforming to ISO standard 4064. meters will be accepted for installation. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge, tests done by the contractor with VAT, Income Tax & Profit).          ",Each,Each,3803.783499
29.45.01,"Supply, testing (one meter in one lot of supply) and installation of (Class C according to ISO Standard- 4064 and meter body made of good quality non-corrosive Brass) 1.5 inch (38 mm) size water meter with all other fittings in all respect etc.,  as per drawing, specification and direction of Engineer- In-charge. Project Name including DPHE must be written in Dial Gauge of Meter and meters must be supplied with anti corrosive epoxy resin paint in blue color. Especially  1. ISO Certificate of the water meter manufaturer  2. Operation manual with product specification  3. Installation procedure drawing/manual 4. Factory Test report by any third party must be submitted before supply of the meter. Local Laboratory test report of different parameters for water meters  must be submitted before installation and based on satisfactory test report conforming to ISO standard 4064. meters will be accepted for installation. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge, tests done by the contractor with VAT, Income Tax & Profit).          ",Each,Each,4478.648313
29.45.02,"Supply, testing (one meter in one lot of supply) and installation of (Class C according to ISO Standard- 4064 and meter body made of good quality non-corrosive Brass)   2 inch (50 mm) size water meter with all other fittings in all respect etc.,  as per drawing, specification and direction of Engineer- In-charge. Project Name including DPHE must be written in Dial Gauge of Meter and meters must be supplied with anti corrosive epoxy resin paint in blue color. Especially  1. ISO Certificate of the manufaturer  2. Operation manual with product specification  3. Installation procedure drawing/manual 4. Factory Test report by any third party must be submitted before supply of the meter. Local Laboratory test report of different parameters for water meters  must be submitted before installation and based on satisfactory test report conforming to ISO standard 4064. meters will be accepted for installation. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge, tests done by the contractor with VAT, Income Tax & Profit).        ",Each,Each,5214.864474
29.46.01,12 mm dia. Pressure valve.,Each,Each,2722.036553
29.46.02,32 mm dia. Pressure valve.,Each,Each,3580.955407
29.47,"Supply and installing 25mm dia manual air release valve made of Italy/ France/Taiwan in/c 3mm thick MS steel protection box (Size 250mm x250mm x300mm, made of 10mm MS bar 75mm c/c) and fixing the box with GI/ MS pipe by  welding, nipple  and 19mm gate valve, padlock also be supplied with other necessary fittings as per istruction in any diameter pipe line ( at bridge crossing and higher elevation)  as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Each,Each,2208.648483
29.48.01,100 mm dia. Non Return Valve,Each,Each,9267.120927
29.48.02,150 mm dia. Non Return Valve,Each,Each,11951.24235
29.49.01,100 mm dia. Loose flange.,Each,Each,520.2594204
29.49.02,150 mm dia. Loose flange.,Each,Each,642.9621139
29.49.03,200 mm dia. Loose flange.,Each,Each,856.4648006
29.49.04,250 mm dia. Loose flange.,Each,Each,1063.832353
29.49.05,300 mm dia. Loose flange.,Each,Each,1392.675571
29.49.06,400 mm dia. Loose flange.,Each,Each,2199.445781
29.5,"Restoration of  single layer brick flat soling road after installation of water supply pipe line 0.4m plus pipe dia width with supply of materials in/c.  using 50% salvaging materials. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Sqm,Per Sqm,447.4102178
29.51,"Restoration of  HBB road over a single layer brick flat soling road after installation of water supply pipe line 0.4m plus pipe dia width with supply of materials in/c.  using 50% salvaging materials. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Sqm,Per Sqm,636.0453631
29.52.01,"38 mm thick compacted pre-mixed bituminous carpeting with 20 mm down graded stone-chips (having LAA value <= 30%, water absorption not greater than 2%, flakiness index not greater than 35) of gradation as specified @ 0.63 cum of stonechips mixed with 37 kg heated bitumen of 60/70 penetration grade heated straight run bitumen satisfying the requirements of ASTM/AASHTO. Bitumen content % by wt. of total is 4.5% to 5.50% or as determined by job mix design. The bitumen and stone-chips shall be separately heated to a temperature of 140°C – 155°C and 150°C – 170°C respectively before mixing. The mixing shall be done at temperature between 140°C – 160°C at a separate place away from the fire. The bitumen and stone-chips mixture shall be laid uniformly over ",Per Sqm,Per Sqm,748.4850375
29.52.02,"25 mm thick compacted pre-mixed bituminous carpeting with 12 mm down graded stone-chips (having LAA value <= 30%, water absorption not greater than 2%, flakiness index not greater than 35) of gradation as specified @ 0.34 cum of stone chips mixed with 23 kg heated bitumen of 60/70 penetration grade heated straight run bitumen satisfying the requirements of  ASTM/AASHTO. Bitumen content % by wt. of total is 4.5% to 5.50% or as determined by job mix design. The bitumen and stone-chips shall be separately heated to a temperature of 140°C – 155°C and 150°C – 170°C respectively before mixing. The mixing shall be done at temperature between 140°C – 160°C at a separate place away from the fire. The bitumen and stone-chips mixture shall be laid uniformly over ",Per Sqm,Per Sqm,475.0440128
29.52.03,"Providing tack coat @ 7.50 kg of bitumen (60/70 penetration grade) per 10 sqm including heating bitumen up to 175°C to 185°C etc. all complete (cost of bitumen included) and accepted by the Engineer-in-charge.  (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Sqm,Per Sqm,80.43151743
29.52.04,"Providing seal coat with 4 cft of Sylhet sand (FM 2.2) mixed with @ 7.32 kg of bitumen (60/70 penetration grade) per 10 sqm of road surface including supplying and spreading of dry sand (F.M. 0.80) @ 0.09 cum per 10 sqm, including heating bitumen upto 176°C to 190°C, and spreading, rolling at a temperature not below 90°C celsius with appropriate steel drum roller (3 -5 ton) and pneumatic multiple tire roller (8-10 tons) to the desired compaction etc. all complete (cost of bitumen included ) and accepted by the Engineer-incharge.  (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Sqm,Per Sqm,124.2125629
29.52.05,"Premixed bituminous seal coat with 0.12 cum of pea gravels mixed with 80 kg of bitumen (60/70 penetration grade) per cum of pea gravels and laid over 10 sqm road surface, spreading with proper camber, grade, surface blinding with dry sand (F.M. 1.2) @ 0.09 cum per 10 sqm, rolling at a temperature not below 90°C with appropriate steel drum roller (3-5 ton) and pneumatic multiple tire roller (8-10 tons) to the desired compaction etc. all complete and accepted by the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Sqm,Per Sqm,177.3934809
29.52.06,"Providing prime coat @ 1.2 liter/sqm with cutback bitumen to be prepared by cutting back 60/70 penetration grade bitumen in the ratio of 100 parts by volume of bitumen to 40-60 parts by volume of kerosene depending on the porosity of surface and will be decided by field trials, carefully cleaning of the surface of base material to be primed and spraying cutback bitumen at a temperature from 100 degree celcius to 120 degree celcius by appropriate hand device etc.all complete as per direction of the Engineer-in-charge.(This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Sqm,Per Sqm,109.7087482
29.53,"Restoration of  road after installation of water supply pipe line 0.4m plus pipe dia width by Cement Concrete (1:2:4) with supply of cement, stone chips, 20 mm well down graded & sand (F.M-2.2) in/c. curing etc. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Cum,Per Cum,9225.643981
29.54,"Restoration of  road after installation of water supply pipe line 0.4m plus pipe dia width by Cement Concrete (1:2:4) with supply of cement, brick chips, 20 mm well down graded & sand (F.M-2.2) in/c. curing etc. as per drawing, design, specification  and direction of the Engineer-in-charge. (This item includes Labour charge, carrying charge with VAT, Income Tax & Profit).          ",Per Cum,Per Cum,7282.291286
29.55.01,110 mm dia pipe line.,Per rm,Per rm,4.478648313
29.55.02,160 mm dia pipe line.,Per rm,Per rm,5.779296864
29.55.03,200 mm dia pipe line.,Per rm,Per rm,7.693458882
29.55.04,225 mm dia pipe line.,Per rm,Per rm,9.239512821
29.55.05,250 mm dia pipe line.,Per rm,Per rm,10.71808028
29.55.06,280 mm dia pipe line.,Per rm,Per rm,12.6322423
29.55.07,315 mm dia pipe line.,Per rm,Per rm,14.23964758
29.55.08,355 mm dia pipe line.,Per rm,Per rm,15.60778261
29.56.01,110mm dia pipe line.,Per rm,Per rm,4.932648279
29.56.02,160 mm dia pipe line.,Per rm,Per rm,6.043107655
29.56.03,200 mm dia pipe line.,Per rm,Per rm,6.846810297
29.56.04,225 mm dia pipe line.,Per rm,Per rm,7.852972384
29.56.05,250 mm dia pipe line.,Per rm,Per rm,9.466512804
29.56.06,280 mm dia pipe line.,Per rm,Per rm,11.23956672
29.56.07,315 mm dia pipe line.,Per rm,Per rm,13.26416117
29.56.08,355 mm dia pipe line.,Per rm,Per rm,15.11697184
29.57.01,110 mm dia. gate valve.,Each,Each,8724.161508
29.57.02,160 mm dia. gate valve.,Each,Each,13690.55303
29.57.03,200 mm dia. gate valve. ,Each,Each,19540.40394
29.57.04,225 mm dia. gate valve. ,Each,Each,23123.32259
29.57.05,250 mm dia. gate valve. ,Each,Each,26804.4034
29.57.06,280 mm dia. gate valve. ,Each,Each,27417.91686
29.57.07,315 mm dia. gate valve. ,Each,Each,29258.45727
29.57.08,355 mm dia. gate valve.,Each,Each,30485.4842
29.58.01,100 mm (ND) dia. Wash out.,Each,Each,4362.080754
29.58.02,150 mm (ND) dia. Wash out.,Each,Each,6448.026543
29.58.03,200 mm (ND) dia. Wash out.,Each,Each,7797.756172
